Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,,
 Grace ,25,"$50,000",Male,HR,Manager,04/05/18,D,email@example.com,000-000-0000,,
 David ,37,"$65,000",Female,Finance,Director,02/20/20,F,user@domain.com,123-456-7890,,
 Hannah ,35,"$60,000 ",Female,Sales,Director,01/15/20,C,email@example.com,098-765-4321,,
 Eve ,37,"$50,000",Female,IT,Manager,04/05/18,A,name@company.org, ,,
 Grace ,37,"$60,260",Female,Finance,Manager,01/15/20,F,name@company.org,098-765-4321,,
 Jack ,37,"$65,000",Other,Marketing,Director,03/25/19,F,user@domain.com,000-000-0000,,
 Charlie ,37,"$50,000",Male,Marketing,Clerk,01/12/19,B,no-user@gmail.com,123-456-7890,,
 Grace ,40,"$50,000",Other,HR,Director,03/25/19,C,no-user@gmail.com, ,,
 Hannah ,40,"$60,000 ",Female,Marketing,Manager,01/15/20,C,user@domain.com,123-456-7890,,
 Eve ,30,"$60,260 ",Other,Finance,Assistant,02/20/20,A,no-user@gmail.com, ,,
 David ,25,"$70,000",Male,Marketing,Analyst,01/12/19,B,no-user@gmail.com,123-456-7890,,
 Hannah ,37,"$70,000",Other,Finance,Assistant,03/25/19,A,no-user@gmail.com,000-000-0000,,
 Hannah ,30,"$50,000",Male,IT,Assistant,04/05/18,D,no-user@gmail.com, ,,
 Charlie ,25,"$55,000",Other,HR,Manager,02/20/20,F,no-user@gmail.com,555-555-5555,,
 Frank ,50,"$60,260 ",Male,Marketing,Director,03/25/19,A,no-user@gmail.com,123-456-7890,,
 Eve ,35,"$65,000",Male,Finance,Clerk,04/05/18,F,no-user@gmail.com,123-456-7890,,
 Bob ,40,"$55,000",Female,Sales,Assistant,01/15/20,B,no-user@gmail.com,098-765-4321,,
 Hannah ,50,"$55,000",Male,HR,Director,04/05/18,D,user@domain.com, ,,
 Frank ,25,"$60,260 ",Female,IT,Clerk,03/25/19,B,email@example.com,555-555-5555,,
 Bob ,50,"$50,000",Female,Finance,Assistant,03/25/19,D,user@domain.com,000-000-0000,,
 Eve ,35,"$50,000",Female,IT,Clerk,01/15/20,D,email@example.com,098-765-4321,,
 Alice ,25,"$50,000",Other,IT,Director,04/05/18,F,user@domain.com,555-555-5555,,
 Jack ,50,"$50,000",Other,Marketing,Analyst,04/05/18,B,email@example.com, ,,
 Frank ,40,"$70,000",Other,Marketing,Director,01/15/20,B,email@example.com,555-555-5555,,
 Ivy ,40,"$50,000",Other,Finance,Manager,04/05/18,A,name@company.org,123-456-7890,,
 Alice ,30,"$70,000",Male,Sales,Clerk,01/15/20,B,email@example.com,123-456-7890,,
 Jack ,50,"$70,000",Male,Finance,Analyst,02/20/20,A,email@example.com,098-765-4321,,
 Charlie ,37,"$50,000",Other,Sales,Clerk,03/25/19,C,name@company.org, ,,37
 Grace ,50,"$60,000 ",Male,IT,Clerk,02/20/20,C,no-user@gmail.com, ,,
 David ,25,"$65,000",Male,HR,Assistant,01/12/19,C,no-user@gmail.com,555-555-5555,,
 Ivy ,25,"$55,000",Female,Finance,Manager,01/12/19,B,name@company.org,098-765-4321,,
 Charlie ,50,"$70,000",Female,Finance,Clerk,01/12/19,B,no-user@gmail.com, ,,
 Eve ,35,"$60,260 ",Female,Sales,Director,01/15/20,A,email@example.com,123-456-7890,,
 Charlie ,40,"$60,260 ",Female,IT,Director,04/05/18,D,email@example.com,555-555-5555,,
 Grace ,25,"$65,000",Male,IT,Assistant,02/20/20,A,name@company.org,000-000-0000,,
 Eve ,40,"$60,260",Other,Sales,Manager,02/20/20,C,name@company.org,123-456-7890,,
 Ivy ,25,"$60,000 ",Male,IT,Manager,02/20/20,A,no-user@gmail.com,098-765-4321,,
 Grace ,30,"$60,260 ",Male,Marketing,Director,02/20/20,D,no-user@gmail.com, ,,
 Bob ,37,"$55,000",Male,HR,Analyst,01/12/19,B,user@domain.com,123-456-7890,,
 David ,25,"$55,000",Female,Finance,Assistant,02/20/20,A,no-user@gmail.com,000-000-0000,,
 Ivy ,40,"$70,000",Female,HR,Assistant,04/05/18,C,email@example.com,000-000-0000,,
 Bob ,30,"$50,000",Female,Finance,Director,01/12/19,C,name@company.org,098-765-4321,,
 Jack ,25,"$60,000 ",Other,Marketing,Director,02/20/20,B,no-user@gmail.com,123-456-7890,,
